Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Name_Length,Is_Sequel,Console_Maker,Competition_Index,Publisher_Experience,Hit_Target,Critic_Score,User_Score,Total_Rating_Count,IGDB_Genres
27,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,43,1,Nintendo,1927,5.472270674,1,82,71.29416357,11,"Puzzle, Quiz/Trivia"
28,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo,3.43,5.36,5.32,1.18,15.29,43,1,Nintendo,2687,5.991464547,1,82,71.29416357,11,"Puzzle, Quiz/Trivia"
29,Pok��mon Black / White Ver,DS,2011,Role-Playing,Nintendo,5.51,3.2,5.66,0.8,15.18,29,0,Nintendo,3488,6.744059186,1,0,0,0,
30,Pok��mon Sun/,3DS,2016,Role-Playing,Nintendo,6.02,4.34,3.82,0.99,15.17,16,0,Nintendo,1435,7.03966035,1,0,0,0,
31,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,22,1,Sony,1537,3.988984047,1,0,0,0,
32,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,30,1,Microsoft,3488,6.891625897,1,62.42857143,61.16555239,155,Shooter
33,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,23,1,Microsoft,3712,6.770789424,1,81.41666667,80.30975289,1267,Shooter
34,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,19,0,Nintendo,1893,6.881411304,1,0,0,0,
35,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,25,1,Sony,1809,7.151485464,1,0,72.04108794,31,Shooter
36,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,26,1,Sony,1737,6.989335266,1,78.47058824,76.07578653,870,Shooter
37,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games,5.26,6.21,0.21,2.26,13.94,21,1,Sony,1570,4.49980967,1,94.05882353,93.65859911,3211,"Shooter, Role-playing (RPG), Adventure"
38,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,26,1,Microsoft,1737,6.9902565,1,78.47058824,76.07578653,870,Shooter
39,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,30,1,Microsoft,4489,6.548219103,1,85.27272727,83.42708975,1474,Shooter
40,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,30,1,Sony,3488,6.892641641,1,62.42857143,61.16555239,155,Shooter
41,Call of Duty: WWII,PS4,2017,Shooter,Activision,4.67,6.21,0.4,2.12,13.4,18,1,Sony,1573,7.210818453,1,75.27777778,74.77832312,576,Shooter
42,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,20,0,Sony,1537,2.63905733,1,95,89.88330781,1511,"Shooter, Racing, Simulator, Adventure"
43,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo,5.05,4.98,2.11,0.91,13.05,19,0,Other,1573,7.069874128,1,0,0,0,Racing
44,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,23,0,Nintendo,3121,6.222576268,1,0,0,0,Arcade
45,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,23,1,Sony,3712,6.771935556,1,81.41666667,80.30975289,1267,Shooter
46,Pok��mon Omega Ruby/Pok��mon Alpha ,3DS,2014,Role-Playing,Nintendo,4.78,3.98,3.15,0.82,12.73,41,0,Nintendo,3043,6.925595197,1,0,0,0,
47,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,27,1,Nintendo,1927,5.476463552,1,75,76.70320736,151,Simulator
48,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,12,1,Nintendo,3488,6.745236349,1,83.5,82.47800644,265,"Racing, Arcade"
49,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,6,1,Microsoft,2687,4.804021045,1,77.66666667,76.50665108,387,Shooter
50,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,18,0,Sony,3043,5.988961417,1,0,87.25022815,281,"Shooter, Racing, Arcade"
51,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,36,0,Nintendo,4489,6.371611847,1,0,0,0,
52,FIFA 18,PS4,2017,Sports,EA Sports,1.27,8.64,0.15,1.73,11.8,7,1,Sony,1573,5.267858159,1,58.33333333,49.34179393,12,Sport
53,Pok��mon Heart Gold / Soul Silver Ver,DS,2010,Role-Playing,Nintendo,4.34,2.72,3.96,0.76,11.78,40,0,Nintendo,3712,6.613384218,1,0,0,0,
54,Super Mario Odyssey,NS,2017,Platform,Nintendo,5.1,3.75,2.02,0.84,11.71,19,0,Other,1573,7.070724107,1,0,0,0,Platform
55,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,14,1,Sony,1927,5.484796933,1,70,55.20807044,10,"Racing, Simulator"
56,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,14,1,Sony,1689,5.303304908,1,70,55.20807044,10,"Racing, Simulator"
57,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,18,0,Nintendo,2687,5.993961427,1,92,92,3,"Platform, Adventure"
58,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,41,0,Nintendo,3043,6.926577033,1,0,0,0,
59,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,19,0,Microsoft,3121,5.247024072,1,88.125,85.78380812,1765,"Shooter, Racing, Adventure"
60,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo,2.46,3.06,4.9,0.48,10.9,25,1,Nintendo,1893,6.882437471,1,88.3,86.69471433,256,Simulator
61,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,19,0,Nintendo,3488,6.746412129,1,90,85.47377827,382,Platform
62,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,14,1,Sony,3712,6.733401892,1,81.5,72.53786515,30,"Racing, Simulator"
63,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,30,1,Sony,4489,6.549650742,1,85.27272727,83.42708975,1474,Shooter
64,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,19,0,Sony,3121,5.252273428,1,88.125,85.78380812,1765,"Shooter, Racing, Adventure"
65,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,33,0,Nintendo,1689,5.075173815,1,0,0,0,
66,Pok��mon FireRed / LeafGreen Ver,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,35,0,Nintendo,1689,5.081404365,1,0,0,0,
67,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,14,1,Nintendo,1689,5.087596335,1,0,85.79557196,8,"Platform, Adventure"
68,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26,12,1,Nintendo,3488,7.029972912,1,0,0,0,Music
69,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,20,1,Microsoft,1893,7.053585727,1,73.60869565,69.25090322,692,Shooter
70,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,11,1,Microsoft,3712,5.303304908,1,89,86.63770046,630,Shooter
71,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,23,1,Nintendo,1737,6.820016365,1,77.08333333,75.02672292,169,"Platform, Adventure"
72,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,6,1,Microsoft,1737,5.537334267,1,87.5,82.69015342,528,Shooter
73,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,20,1,Sony,1893,7.054449658,1,73.60869565,69.25090322,692,Shooter
74,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,12,1,Nintendo,3712,6.910750788,1,0,0,0,Music
75,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo,4.54,2.94,1.26,0.73,9.46,39,1,Other,1573,7.071573364,1,0,0,0,"Role-playing (RPG), Adventure"
76,Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision,4.05,3.28,0.5,1.49,9.32,28,1,Sony,1570,7.218909708,1,83.29411765,74.98042804,198,Shooter
77,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,30,1,Microsoft,2687,6.161207322,1,0,0,0,
78,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,9,0,Microsoft,1893,5.564520407,1,0,81.3817491,425,"Simulator, Adventure, Arcade"
79,FIFA 19,PS4,2018,Sports,Electronic Arts,0.84,6.87,0.1,1.34,9.15,7,1,Sony,1570,7.490529402,1,50,64.67882585,9,Sport
80,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,25,1,Nintendo,1737,6.821107472,1,88.3,86.69471433,256,Simulator
81,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,14,0,Nintendo,2687,5.996452089,1,55,66.02219688,87,"Puzzle, Strategy, Turn-based strategy (TBS), Adventure, Card & Board Game"
82,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo,4.22,1.72,2.41,0.61,8.95,26,0,Other,1570,7.104144093,1,86.6,86.55489266,914,"Fighting, Platform"
83,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,27,1,Microsoft,3488,4.406719247,1,79.91666667,83.71009941,3999,"Role-playing (RPG), Adventure"
84,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment,3.64,3.39,0.32,1.41,8.76,19,0,Sony,1570,4.304065093,1,89.6875,88.39186532,1913,"Hack and slash/Beat 'em up, Adventure"
85,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,6,1,Microsoft,1689,4.276666119,1,80.66666667,82.30363959,645,Shooter
86,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,9,0,Nintendo,3712,6.6147256,1,70,69.87355165,55,Quiz/Trivia
87,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,7,1,Sony,1809,7.44132039,1,83.23076923,77.68905232,231,Sport
88,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,3.11,3.83,0.19,1.36,8.48,30,1,Sony,1435,7.185387016,1,77.24,73.99640261,407,"Shooter, Adventure"
89,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,13,1,Nintendo,2687,5.998936562,1,0,0,0,Arcade
90,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,31,1,Nintendo,1737,6.822197391,1,0,0,0,
91,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo,3.73,1.5,2.55,0.54,8.32,25,0,Nintendo,3043,6.927557906,1,0,0,0,"Fighting, Platform"
92,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,14,1,Sony,1737,7.341483852,1,85.06666667,80.14561352,223,"Simulator, Sport"
93,Pok��mon Black 2 and Whi,DS,2012,Role-Playing,Nintendo,2.79,1.79,3.16,0.43,8.16,27,1,Nintendo,1737,6.823286122,1,0,0,0,
94,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11,10,1,PC,4489,6.895682698,1,0,0,0,Simulator
95,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,34,0,Nintendo,2687,6.135564891,1,0,63.76172846,16,Sport
96,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,15,0,Sony,1537,4.007333185,1,95,91.48467561,994,"Role-playing (RPG), Adventure"
97,FIFA 13,PS3,2012,Sports,EA Sports,1.07,5.13,0.13,1.68,8.01,7,1,Sony,1737,5.159055299,1,85.06666667,80.14561352,223,"Simulator, Sport"
98,Pok��mon Platinum Ver,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,24,0,Nintendo,3121,6.224558429,1,0,0,0,
99,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,38,1,Sony,1927,4.276666119,1,0,79.84999707,13,"Racing, Adventure"
100,Pok��mon Platinum Ver,DS,2009,Role-Playing,Nintendo,2.76,1.73,2.69,0.54,7.72,24,0,Nintendo,4489,6.37331979,1,0,0,0,
101,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,20,1,Nintendo,3712,6.616065185,1,0,0,0,"Platform, Adventure"
102,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,28,0,Sony,1809,7.441906728,1,68.44444444,68.10530563,436,Shooter
103,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,30,1,Sony,3043,7.104144093,1,80.2,76.07741566,598,Shooter
104,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,35,0,Nintendo,3043,6.928537818,1,0,0,0,
105,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37,26,1,Microsoft,3121,6.369900983,1,80,77.59385501,925,"Shooter, Adventure"
106,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,13,1,Microsoft,3488,7.237059026,1,0,0,0,Shooter
107,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,38,1,Nintendo,2257,5.723585102,1,97.5,88.54366073,86,"Puzzle, Adventure"
108,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,25,1,Microsoft,1809,7.152268856,1,0,72.04108794,31,Shooter
109,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27,10,0,Nintendo,4489,6.711740395,1,0,0,0,Music
110,Battlefield 1,PS4,2016,Shooter,Electronic Arts,2.2,3.65,0.29,1.12,7.26,13,1,Sony,1435,7.463936604,1,0,79.22868854,34,Shooter
111,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,13,1,Sony,3488,7.237778192,1,0,0,0,Shooter
112,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,26,0,Sony,1819,5.402677382,1,0,51.07622336,9,Racing
113,Pok��mon: Ultra Sun and Ultra ,3DS,2017,Role-Playing,Nintendo,2.46,1.74,2.55,0.4,7.15,33,1,Nintendo,1573,7.072421901,1,0,0,0,
114,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,23,0,Nintendo,1537,3.761200116,1,0,0,0,"Fighting, Platform, Sport"
115,Splatoon 2,NS,2017,Shooter,Nintendo,1.9,1.8,3.01,0.34,7.04,10,1,Other,1573,7.073269717,1,0,0,0,"Shooter, Platform"
116,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,9,1,Sony,1809,4.990432587,1,84.66666667,82.13877146,1636,"Shooter, Role-playing (RPG)"
117,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,12,1,Nintendo,3043,6.929516771,1,90.8,88.69366752,674,"Racing, Arcade"
118,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,25,1,Nintendo,1819,4.753590191,1,85,84.00078357,370,"Racing, Arcade"
119,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91,12,1,Nintendo,1737,7.145196135,1,72.5,76.27504528,32,Music
120,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,7,1,Sony,1893,7.379008128,1,88,88,1,Sport
121,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,28,1,Sony,1689,5.786897381,1,80,80,1,Racing
122,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,25,1,Sony,1831,4.727387819,1,93.33333333,85.28523857,120,Shooter
123,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,30,1,Sony,3488,6.922643891,1,93.25,88.74336924,1408,"Shooter, Platform, Adventure"
124,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81,13,0,Nintendo,3712,5.247024072,1,45,57.5,6,"Music, Sport"
125,The Last of Us Remastered,PS4,2014,Action-Adventure,Sony Computer Entertainment,2.7,2.86,0.11,1.1,6.77,25,0,Sony,3043,7.098375639,1,97.4,95.38574489,1652,"Shooter, Adventure"
126,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,14,1,Microsoft,3121,5.062595033,1,90.4,86.9528586,428,Shooter
127,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73,26,1,Sony,4489,6.473890696,1,95.375,91.99534893,2074,"Shooter, Platform, Adventure"
128,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,30,1,Sony,2687,6.163314804,1,0,0,0,
129,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,7,1,Sony,3488,7.238496841,1,83.81818182,79.17169361,152,"Simulator, Sport"
130,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,17,0,Nintendo,1927,5.480638923,1,75,66.4455929,11,Puzzle
131,FIFA Soccer 12,PS3,2011,Sports,EA Sports,0.84,4.33,0.11,1.37,6.65,14,1,Sony,3488,5.062595033,1,83.81818182,79.17169361,152,"Simulator, Sport"
132,Big Brain Academy,DS,2006,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63,17,0,Nintendo,2257,5.726847748,1,75,66.4455929,11,Puzzle
133,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,19,0,Sony,3712,5.655991811,1,0,0,0,"Shooter, Role-playing (RPG), Adventure"
134,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,27,0,Nintendo,3712,6.617402978,1,86,84.33732414,185,Platform
135,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,7,1,Sony,3043,7.410347098,1,0,69.65731731,7,Sport
136,Red Dead Redemption,PS3,2011,Action,Rockstar Games,2.82,2.58,0.17,1,6.57,19,0,Sony,3488,4.17438727,1,0,0,0,"Shooter, Role-playing (RPG), Adventure"
137,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,27,1,Sony,3488,4.418840608,1,79.91666667,83.71009941,3999,"Role-playing (RPG), Adventure"
138,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,20,0,Sony,1737,7.145984468,1,81.17647059,77.23920534,1435,Adventure
139,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,20,1,Microsoft,1537,0.693147181,1,86.66666667,85.12181978,863,Shooter
140,Pok��mon Emerald Ver,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,23,0,Nintendo,1689,5.093750201,1,0,0,0,
141,Pok��mon Emerald Ver,GBA,2005,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,23,0,Nintendo,1927,5.484796933,1,0,0,0,
142,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,14,0,Sony,1831,4.605170186,1,0,0,0,Role-playing (RPG)
143,Pok��mon Crystal Ver,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,23,0,Nintendo,1609,0.693147181,1,0,0,0,
144,Pok��mon Crystal Ver,GBC,2001,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,23,0,Other,1537,3.784189634,1,0,0,0,
145,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,12,1,Microsoft,4489,5.159055299,1,77.66666667,76.50665108,387,Shooter
146,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,19,0,Microsoft,3712,5.659482216,1,0,0,0,"Shooter, Role-playing (RPG), Adventure"
147,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,20,0,Nintendo,1831,4.418840608,1,0,72.266125,8,"Platform, Adventure"
148,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0,0,6.28,17,0,PC,1689,5.384495063,1,0,0,0,
149,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,14,1,Microsoft,3488,5.451038454,1,96.66666667,89.41495921,330,Shooter
150,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,13,0,Microsoft,3712,5.308267697,1,75,70.6258544,21,Sport
151,Call of Duty: WWII,XOne,2017,Shooter,Activision,3.75,1.91,0,0.57,6.23,18,1,Microsoft,1573,7.211556733,1,75.27777778,74.77832312,576,Shooter
